TAXON,GROUP,carnivore
Abyssoninoe hibernica,IV,TRUE
Acanthodoris pilosa,IV,TRUE
Acteon tornatilis,IV,TRUE
Actinia equina,IV,TRUE
Actiniaria,IV,TRUE
Aeolidia papillosa,IV,TRUE
Alitta,IV,TRUE
Alitta succinea,IV,TRUE
Alitta virens,IV,TRUE
Anaitides,IV,TRUE
Anthozoa,IV,TRUE
Antinoella finmarchica,IV,TRUE
Aphrodita,IV,TRUE
Aphrodita aculeata,IV,TRUE
Aphroditidae,IV,TRUE
Asterias rubens,IV,TRUE
Asteroidea,IV,TRUE
Astropecten irregularis,IV,TRUE
Athanas nitescens,IV,TRUE
Atylus,IV,TRUE
Autolytus,IV,TRUE
Buccinum undatum,IV,TRUE
Bylgides sarsi,IV,TRUE
Cancer pagurus,IV,TRUE
Caprellidae,IV,TRUE
Carcinus maenas,IV,TRUE
Cerianthus lloydi,IV,TRUE
Chaetoderma nitidulum,IV,TRUE
Chaetognatha,IV,TRUE
Cirolana cranchii,IV,TRUE
Corystes cassivelaunus,IV,TRUE
Crangon,IV,TRUE
Crangon crangon,IV,TRUE
Cuthona nana,IV,TRUE
Cylichna cylindracea,IV,TRUE
Diogenes pugilator,IV,TRUE
Drilonereis filum,IV,TRUE
Ebalia,IV,TRUE
Ebalia cranchii,IV,TRUE
Ebalia granulosa,IV,TRUE
Ebalia tuberosa,IV,TRUE
Ebalia tumefacta,IV,TRUE
Edwardsia,IV,TRUE
Edwardsia claparedii,IV,TRUE
Elysia viridis,IV,TRUE
Endeis spinosa,IV,TRUE
Enipo kinbergi,IV,TRUE
Epitonium clathratulum,IV,TRUE
Eteone,IV,TRUE
Eteone flava,IV,TRUE
Eteone longa,IV,TRUE
Eulalia bilineata,IV,TRUE
Eulalia viridis,IV,TRUE
Eumida,IV,TRUE
Eumida sanguinea,IV,TRUE
Eunereis,IV,TRUE
Eunereis elitoralis,IV,TRUE
Eunereis longissima,IV,TRUE
Eunicida,IV,TRUE
Eunoe nodosa,IV,TRUE
Eurydice pulchra,IV,TRUE
Eurydice spinigera,IV,TRUE
Euspira catena,IV,TRUE
Euspira pulchella,IV,TRUE
Eusyllinae,IV,TRUE
Exogone naidina,II,FALSE
Gammaridae,IV,TRUE
Gammarus,IV,TRUE
Gammarus crinicornis,IV,TRUE
Gammarus locusta,IV,TRUE
Gammarus zaddachi,IV,TRUE
Gastropoda,IV,TRUE
Gastrosaccus,IV,TRUE
Gastrosaccus spinifer,IV,TRUE
Gattyana amondseni,IV,TRUE
Gattyana cirrhosa,IV,TRUE
Glycera,IV,TRUE
Glycera alba,IV,TRUE
Glycera lapidum,IV,TRUE
Glycera unicornis,IV,TRUE
Glycinde nordmanni,IV,TRUE
Goneplax rhomboides,IV,TRUE
Goniada maculata,IV,TRUE
Goniadella bobrezkii,IV,TRUE
Goniadidae,IV,TRUE
Gyptis,IV,TRUE
Harmothoe,IV,TRUE
Harmothoe antilopes,IV,TRUE
Harmothoe extenuata,IV,TRUE
Harmothoe glabra,IV,TRUE
Harmothoe imbricata,IV,TRUE
Harmothoe impar,IV,TRUE
Hediste diversicolor,IV,TRUE
Hemigrapsus sanguineus,IV,TRUE
Hemigrapsus takanoi,IV,TRUE
Hesionura elongata,IV,TRUE
Hippolyte varians,IV,TRUE
Hydrozoa,IV,TRUE
Hypereteone foliosa,IV,TRUE
Hyperia,IV,TRUE
