"group","provided","accepted","level","quality_code"
"MOGAS","Ancylidae","Ancylidae","Familia",10
"MOGAS","Ferrissiidae","Ancylidae","Familia",20
"ARACH","Anisitsiellidae","Anisitsiellidae","Familia",10
"IDREM","Anisopodidae","Anisopodidae","Familia",10
"MOBIV","Anomiidae","Anomiidae","Familia",10
"IDREM","Anthomyiidae","Anthomyiidae","Familia",10
"CRISO","Anthuridae","Anthuridae","Familia",10
"CRAMP","Aoridae","Aoridae","Familia",10
"INTRI","Apataniidae","Apataniidae","Familia",10
"INHET","Aphelocheiridae","Aphelocheiridae","Familia",10
"IDREM","Aphididae","Aphididae","Familia",10
"APPOL","Aphroditidae","Aphroditidae","Familia",10
"APPOL","Apistobranchidae","Apistobranchidae","Familia",10
"CRREM","Archaeobalanidae","Archaeobalanidae","Familia",10
"MOBIV","Arcticidae","Arcticidae","Familia",10
"APPOL","Arenicolidae","Arenicolidae","Familia",10
"CRAMP","Argissidae","Argissidae","Familia",10
"CRREM","Argulidae","Argulidae","Familia",10
"ARACH","Arrenuridae","Arrenuridae","Familia",10
"INEPH","Arthropleidae","Arthropleidae","Familia",10
"MAREM","Ascidiidae","Ascidiidae","Familia",10
"CRISO","Asellidae","Asellidae","Familia",10
"MOGAS","Assimineidae","Assimineidae","Familia",10
"CRDEC","Astacidae","Astacidae","Familia",10
"MOBIV","Astartidae","Astartidae","Familia",10
"ECHIN","Asteriidae","Asteriidae","Familia",10
"ECHIN","Astropectinidae","Astropectinidae","Familia",10
"IDREM","Athericidae","Athericidae","Familia",10
"ARACH","Athienemanniidae","Athienemanniidae","Familia",10
"ARACH","Aturidae","Aturidae","Familia",10
"CRDEC","Atyidae","Atyidae","Familia",10
"CRAMP","Atylidae","Atylidae","Familia",10
"CRREM","Austrobalanidae","Austrobalanidae","Familia",10
"INEPH","Baetidae","Baetidae","Familia",10
"CRREM","Balanidae","Balanidae","Familia",10
"MOGAS","Barleeiidae","Barleeiidae","Familia",10
"INTRI","Beraeidae","Beraeidae","Familia",10
"IDREM","Bibionidae","Bibionidae","Familia",10
"MOGAS","Bithyniidae","Bithyniidae","Familia",10
"CRREM","Bodotriidae","Bodotriidae","Familia",10
"CRISO","Bopyridae","Bopyridae","Familia",10
"INTRI","Brachycentridae","Brachycentridae","Familia",10
"APOLI","Branchiobdellidae","Branchiobdellidae","Familia",10
"MAREM","Branchiostomidae","Branchiostomidae","Familia",10
"ECHIN","Brissidae","Brissidae","Familia",10
"MOGAS","Buccinidae","Buccinidae","Familia",10
"BRHYP","Bugulidae","Bugulidae","Familia",10
"MOGAS","Caecidae","Caecidae","Familia",10
"INEPH","Caenidae","Caenidae","Familia",10
"CRDEC","Callianassidae","Callianassidae","Familia",10
"ARACH","Callipallenidae","Callipallenidae","Familia",10
"IDREM","Calliphoridae","Calliphoridae","Familia",10
"INODO","Calopterygidae","Calopterygidae","Familia",10
"MOGAS","Calyptraeidae","Calyptraeidae","Familia",10
"CRDEC","Cambaridae","Cambaridae","Familia",10
"BRHYP","Campanulariidae","Campanulariidae","Familia",10
"BRHYP","Campanulinidae","Campanulinidae","Familia",10
"IDREM","Canacidae","Canacidae","Familia",10
"CRDEC","Cancridae","Cancridae","Familia",10
"APPOL","Capitellidae","Capitellidae","Familia",10
"CRAMP","Caprellidae","Caprellidae","Familia",10
"MOBIV","Cardiidae","Cardiidae","Familia",10
"IDREM","Cecidomyiidae","Cecidomyiidae","Familia",10
"IDREM","Ceratopogonidae","Ceratopogonidae","Familia",10
"MAREM","Cerianthidae","Cerianthidae","Familia",10
"MOGAS","Bittiidae","Cerithiidae","Familia",20
"MOGAS","Cerithiidae","Cerithiidae","Familia",10
"MOGAS","Cerithiopsidae","Cerithiopsidae","Familia",10
"MOREM","Chaetodermatidae","Chaetodermatidae","Familia",10
"APPOL","Chaetopteridae","Chaetopteridae","Familia",10
"IDREM","Chaoboridae","Chaoboridae","Familia",10
"IDCHI","Chironomidae","Chironomidae","Familia",10
"INREM","Chloroperlidae","Chloroperlidae","Familia",10
"INCOL","Chrysomelidae","Chrysomelidae","Familia",10
"APTUR","Cicerinidae","Cicerinidae","Familia",10
"MOGAS","Cingulopsidae","Cingulopsidae","Familia",10
"MAREM","Cionidae","Cionidae","Familia",10
"CRISO","Cirolanidae","Cirolanidae","Familia",10
"APPOL","Cirratulidae","Cirratulidae","Familia",10
"MAREM","Clavelinidae","Clavelinidae","Familia",10
"BRHYP","Clavidae","Clavidae","Familia",10
"BRHYP","Clionaidae","Clionaidae","Familia",10
"INODO","Coenagrionidae","Coenagrionidae","Familia",10
"MOGAS","Conidae","Conidae","Familia",10
"MOBIV","Corbulidae","Corbulidae","Familia",10
"INODO","Cordulegastridae","Cordulegastridae","Familia",10
"INODO","Corduliidae","Corduliidae","Familia",10
"MAREM","Corellidae","Corellidae","Familia",10
"INHET","Corixidae","Corixidae","Familia",10
"CRAMP","Corophiidae","Corophiidae","Familia",10
"BRHYP","Corynidae","Corynidae","Familia",10
"CRDEC","Corystidae","Corystidae","Familia",10
"APPOL","Cossuridae","Cossuridae","Familia",10
"INLEP","Crambidae","Crambidae","Familia",10
"CRDEC","Crangonidae","Crangonidae","Familia",10
"CRAMP","Crangonyctidae","Crangonyctidae","Familia",10
"BRHYP","Cristatellidae","Cristatellidae","Familia",10
"ECHIN","Cucumariidae","Cucumariidae","Familia",10
"IDREM","Culicidae","Culicidae","Familia",10
"INCOL","Curculionidae","Curculionidae","Familia",10
"ARACH","Argyronetidae","Cybaeidae","Familia",20
"ARACH","Cybaeidae","Cybaeidae","Familia",10
"MOGAS","Cylichnidae","Cylichnidae","Familia",10
"IDREM","Cylindrotomidae","Cylindrotomidae","Familia",10
"MOBIV","Corbiculidae","Cyrenidae","Familia",20
"MOBIV","Cyrenidae","Cyrenidae","Familia",10
"APTUR","Dendrocoelidae","Dendrocoelidae","Familia",10
"CRAMP","Dexaminidae","Dexaminidae","Familia",10
"MAREM","Diadumenidae","Diadumenidae","Familia",10
"CRREM","Diastylidae","Diastylidae","Familia",10
"MAREM","Didemnidae","Didemnidae","Familia",10
"CRDEC","Diogenidae","Diogenidae","Familia",10
"IDREM","Dixidae","Dixidae","Familia",10
"IDREM","Dolichopodidae","Dolichopodidae","Familia",10
"MOBIV","Donacidae","Donacidae","Familia",10
"APPOL","Dorvilleidae","Dorvilleidae","Familia",10
"APOLI","Dorydrilidae","Dorydrilidae","Familia",10
"APOLI","Dorylidae","Dorydrilidae","Familia",20
"MOBIV","Dreissenidae","Dreissenidae","Familia",10
"INCOL","Dryopidae","Dryopidae","Familia",10
"APTUR","Dugesiidae","Dugesiidae","Familia",10
"INCOL","Dytiscidae","Dytiscidae","Familia",10
"MAREM","Echinorynchidae","Echinorynchidae","Familia",10
"ECHIN","Echinothuriidae","Echinothuriidae","Familia",10
"MAREM","Echiuridae","Echiuridae","Familia",10
"INTRI","Ecnomidae","Ecnomidae","Familia",10
"MAREM","Edwardsiidae","Edwardsiidae","Familia",10
"BRHYP","Electridae","Electridae","Familia",10
"MOGAS","Ellobiidae","Ellobiidae","Familia",10
"INCOL","Elmidae","Elmidae","Familia",10
"INCOL","Elmintidae","Elmidae","Familia",20
"MOGAS","Elysiidae","Elysiidae","Familia",10
"IDREM","Empididae","Empididae","Familia",10
"APOLI","Enchytraeidae","Enchytraeidae","Familia",10
"ARACH","Endeidae","Endeidae","Familia",10
"INEPH","Ephemerellidae","Ephemerellidae","Familia",10
"INEPH","Ephemeridae","Ephemeridae","Familia",10
"IDREM","Ephydridae","Ephydridae","Familia",10
"MOGAS","Epitoniidae","Epitoniidae","Familia",10
"INCOL","Erirhinidae","Erirhinidae","Familia",10
"APHIR","Erpobdellidae","Erpobdellidae","Familia",10
"MOGAS","Eulimidae","Eulimidae","Familia",10
"APPOL","Eunicidae","Eunicidae","Familia",10
"APPOL","Euphrosinidae","Euphrosinidae","Familia",10
"APTUR","Euryleptidae","Euryleptidae","Familia",10
"CRAMP","Eusiridae","Eusiridae","Familia",10
"ARACH","Eylaidae","Eylaidae","Familia",10
"APPOL","Fabriciidae","Fabriciidae","Familia",10
"MOGAS","Facelinidae","Facelinidae","Familia","NA"
"IDREM","Fanniidae","Fanniidae","Familia",10
"ARACH","Feltriidae","Feltriidae","Familia",10
"ECHIN","Fibulariidae","Fibulariidae","Familia",10
"MOGAS","Fissurellidae","Fissurellidae","Familia","NA"
"APPOL","Flabelligeridae","Flabelligeridae","Familia",10
"MOGAS","Flabellinidae","Flabellinidae","Familia","NA"
"BRHYP","Fredericellidae","Fredericellidae","Familia",10
"CRAMP","Gammarellidae","Gammarellidae","Familia",10
"CRAMP","Gammaridae","Gammaridae","Familia",10
"MOGAS","Gastrodontidae","Gastrodontidae","Familia",10
"INCOL","Georissidae","Georissidae","Familia",10
"INHET","Gerridae","Gerridae","Familia",10
"APHIR","Glossiphoniidae","Glossiphoniidae","Familia",10
"APOLI","Glossoscolecidae","Glossoscolecidae","Familia",10
"INTRI","Glossosomatidae","Glossosomatidae","Familia",10
"APPOL","Glyceridae","Glyceridae","Familia",10
"MOBIV","Glycymerididae","Glycymerididae","Familia",10
"CRISO","Gnathiidae","Gnathiidae","Familia",10
"INTRI","Goeridae","Goeridae","Familia",10
"MAREM","Golfingiidae","Golfingiidae","Familia",10
"INODO","Gomphidae","Gomphidae","Familia",10
"CRDEC","Goneplacidae","Goneplacidae","Familia",10
"APPOL","Goniadidae","Goniadidae","Familia",10
"MAREM","Gordiidae","Gordiidae","Familia",10
"INCOL","Gyrinidae","Gyrinidae","Familia",10
"APHIR","Haemopidae","Haemopidae","Familia",10
"ARACH","Halacaridae","Halacaridae","Familia",10
"BRHYP","Halichondriidae","Halichondriidae","Familia",10
"MAREM","Haliplanellidae","Haliplanellidae","Familia",10
"INCOL","Haliplidae","Haliplidae","Familia",10
"MAREM","Haloclavidae","Haloclavidae","Familia",10
"BRHYP","Haplosclerida","Haplosclerida","Familia",10
"APOLI","Haplotaxidae","Haplotaxidae","Familia",10
"APPOL","Hauchiella tribullata","Hauchiella tribullata","Familia","NA"
"CRAMP","Haustoriidae","Haustoriidae","Familia",10
"INHET","Hebridae","Hebridae","Familia",10
"INCOL","Helophoridae","Helophoridae","Familia",10
"INEPH","Heptageniidae","Heptageniidae","Familia",10
"APPOL","Hesionidae","Hesionidae","Familia",10
"INCOL","Heteroceridae","Heteroceridae","Familia",10
"MOBIV","Hiatellidae","Hiatellidae","Familia",10
"CRDEC","Hippolytidae","Hippolytidae","Familia",10
"APHIR","Hirudinidae","Hirudinidae","Familia",10
"MAREM","Holothuriidae","Holothuriidae","Familia",10
"CRAMP","Hyalidae","Hyalidae","Familia",10
"ARACH","Hydrachnidae","Hydrachnidae","Familia",10
"BRHYP","Hydractiniidae","Hydractiniidae","Familia",10
"INCOL","Hydraenidae","Hydraenidae","Familia",10
"BRHYP","Hydridae","Hydridae","Familia",10
"MOGAS","Hydrobiidae","Hydrobiidae","Familia",10
"INCOL","Hydrochidae","Hydrochidae","Familia",10
"ARACH","Hydrodromidae","Hydrodromidae","Familia",10
"INHET","Hydrometridae","Hydrometridae","Familia",10
"INCOL","Hydrophilidae","Hydrophilidae","Familia",10
"INTRI","Hydropsychidae","Hydropsychidae","Familia",10
"INTRI","Hydroptilidae","Hydroptilidae","Familia",10
"ARACH","Hydrozetidae","Hydrozetidae","Familia",10
"ARACH","Hydryphantidae","Hydryphantidae","Familia",10
"ARACH","Hygrobatidae","Hygrobatidae","Familia",10
"CRAMP","Hyperiidae","Hyperiidae","Familia",10
"INREM","Ichneumonidae","Ichneumonidae","Familia",10
"CRISO","Idoteidae","Idoteidae","Familia",10
"CRDEC","Inachidae","Inachidae","Familia","NA"
"CRAMP","Iphimediidae","Iphimediidae","Familia",10
"CRAMP","Isaeidae","Isaeidae","Familia",10
"CRAMP","Photidae","Isaeidae","Familia",20
"MOREM","Ischnochitonidae","Ischnochitonidae","Familia",10
"CRAMP","Ischyroceridae","Ischyroceridae","Familia",10
"INEPH","Isonychiidae","Isonychiidae","Familia",10
"COLMB","Isotomidae","Isotomidae","Familia",10
"CRISO","Janiridae","Janiridae","Familia",10
"CRREM","Lampropidae","Lampropidae","Familia",10
"MOBIV","Kelliidae","Lasaeidae","Familia",20
"MOBIV","Lasaeidae","Lasaeidae","Familia",10
"MOBIV","Leptonidae","Lasaeidae","Familia",20
"MOBIV","Montacutidae","Lasaeidae","Familia",20
"ARACH","Lebertiidae","Lebertiidae","Familia",10
"INTRI","Lepidostomatidae","Lepidostomatidae","Familia",10
"INTRI","Leptoceridae","Leptoceridae","Familia",10
"INEPH","Leptophlebiidae","Leptophlebiidae","Familia",10
"APTUR","Leptoplanidae","Leptoplanidae","Familia",10
"INODO","Lestidae","Lestidae","Familia",10
"CRREM","Leuconidae","Leuconidae","Familia",10
"CRDEC","Leucosiidae","Leucosiidae","Familia",10
"CRAMP","Leucothoidae","Leucothoidae","Familia",10
"INREM","Leuctridae","Leuctridae","Familia",10
"INODO","Libellulidae","Libellulidae","Familia",10
"INTRI","Limnephilidae","Limnephilidae","Familia",10
"ARACH","Limnesiidae","Limnesiidae","Familia",10
"ARACH","Limnocharidae","Limnocharidae","Familia",10
"CRISO","Limnoriidae","Limnoriidae","Familia",10
"ARACH","Limnozetidae","Limnozetidae","Familia",10
"IDREM","Limoniidae","Limoniidae","Familia",10
"MAREM","Lineidae","Lineidae","Familia",10
"MOGAS","Littorinidae","Littorinidae","Familia",10
"IDREM","Lonchopteridae","Lonchopteridae","Familia",10
"CRMYS","Lophogastridae","Lophogastridae","Familia",10
"BRHYP","Lophopodidae","Lophopodidae","Familia",10
"BRHYP","Lovenellidae","Lovenellidae","Familia",10
"ECHIN","Loveniidae","Loveniidae","Familia",10
"MAREM","Loxosomatidae","Loxosomatidae","Familia",10
"MOBIV","Lucinidae","Lucinidae","Familia",10
"APOLI","Lumbricidae","Lumbricidae","Familia",10
"APOLI","Lumbriculidae","Lumbriculidae","Familia",10
"APPOL","Lumbrineridae","Lumbrineridae","Familia",10
"ARACH","Lycosidae","Lycosidae","Familia",10
"MOGAS","Lymnaeidae","Lymnaeidae","Familia",10
"CRAMP","Lysianassidae","Lysianassidae","Familia",10
"MOBIV","Mactridae","Mactridae","Familia",10
"APPOL","Magelonidae","Magelonidae","Familia",10
"CRDEC","Majidae","Majidae","Familia",10
"MAREM","Malacobdellidae","Malacobdellidae","Familia",10
"ARACH","Malaconothridae","Malaconothridae","Familia",10
"APPOL","Maldanidae","Maldanidae","Familia",10
"CRAMP","Megaluropidae","Megaluropidae","Familia",10
"CRAMP","Melitidae","Melitidae","Familia",10
"BRHYP","Membraniporidae","Membraniporidae","Familia",10
"INHET","Mesoveliidae","Mesoveliidae","Familia",10
"MAREM","Metridiidae","Metridiidae","Familia",10
"ARACH","Mideidae","Mideidae","Familia",10
"ARACH","Mideopsidae","Mideopsidae","Familia",10
"INTRI","Molannidae","Molannidae","Familia",10
"MAREM","Molgulidae","Molgulidae","Familia",10
"MOGAS","Muricidae","Muricidae","Familia",10
"IDREM","Muscidae","Muscidae","Familia",10
"ARACH","Mycobatidae","Mycobatidae","Familia",10
"MOBIV","Myidae","Myidae","Familia",10
"CRMYS","Mysidae","Mysidae","Familia",10
"CRMYS","Mysidopsis gibbosa","Mysidopsis gibbosa","Familia",10
"MOBIV","Mytilidae","Mytilidae","Familia",10
"APOLI","Naididae","Naididae","Familia",10
"CRREM","Nannastacidae","Nannastacidae","Familia",10
"MOGAS","Nassariidae","Nassariidae","Familia",10
"MOGAS","Naticidae","Naticidae","Familia",10
"INHET","Naucoridae","Naucoridae","Familia",10
"CRREM","Nebaliidae","Nebaliidae","Familia",10
"INREM","Nemouridae","Nemouridae","Familia",10
"CRDEC","Nephropidae","Nephropidae","Familia",10
"APPOL","Nephtyidae","Nephtyidae","Familia",10
"INHET","Nepidae","Nepidae","Familia",10
"APPOL","Nereidae","Nereididae","Familia",20
"APPOL","Nereididae","Nereididae","Familia",10
"MOGAS","Neritidae","Neritidae","Familia",10
"CRAMP","Niphargidae","Niphargidae","Familia",10
"MOBIV","Noetiidae","Noetiidae","Familia",10
"INCOL","Noteridae","Noteridae","Familia",10
"INHET","Notonectidae","Notonectidae","Familia",10
"CRREM","Nototanaidae","Nototanaidae","Familia",10
"MOBIV","Nuculidae","Nuculidae","Familia",10
"ARACH","Nymphonidae","Nymphonidae","Familia",10
"INTRI","Odontoceridae","Odontoceridae","Familia",10
"CRAMP","Oedicerotidae","Oedicerotidae","Familia",10
"APPOL","Oenonidae","Oenonidae","Familia",10
"INEPH","Oligoneuriidae","Oligoneuriidae","Familia",10
"BRHYP","Olindiasidae","Olindiasidae","Familia",10
"MOGAS","Onchidorididae","Onchidorididae","Familia",10
"APPOL","Onuphidae","Onuphidae","Familia","NA"
"APPOL","Opheliidae","Opheliidae","Familia",10
"ECHIN","Ophiactidae","Ophiactidae","Familia",10
"ECHIN","Ophiothricidae","Ophiothricidae","Familia",10
"ECHIN","Ophiotrichidae","Ophiotrichidae","Familia","NA"
"ECHIN","Ophiuridae","Ophiuridae","Familia",10
"APPOL","Orbiniidae","Orbiniidae","Familia",10
"INREM","Osmylidae","Osmylidae","Familia",10
"MOBIV","Ostreidae","Ostreidae","Familia",10
"APPOL","Oweniidae","Oweniidae","Familia",10
"ARACH","Oxidae","Oxidae","Familia",10
"INCOL","Hygrobiidae","Paelobiidae","Familia",20
"INCOL","Paelobiidae","Paelobiidae","Familia",10
"CRDEC","Paguridae","Paguridae","Familia",10
"CRDEC","Palaemonidae","Palaemonidae","Familia",10
"INEPH","Palingeniidae","Palingeniidae","Familia",10
"BRHYP","Paludicellidae","Paludicellidae","Familia",10
"BRHYP","Pandeidae","Pandeidae","Familia",10
"CRDEC","Panopeidae","Panopeidae","Familia",10
"APPOL","Paraonidae","Paraonidae","Familia",10
"CRREM","Paratanaoidea incertae sedis","Paratanaoidea incertae sedis","Familia",10
"ECHIN","Parechinidae","Parechinidae","Familia",10
"CRAMP","Pariambidae","Pariambidae","Familia",10
"MOGAS","Patellidae","Patellidae","Familia",10
"APPOL","Pectinariidae","Pectinariidae","Familia",10
"MOBIV","Pectinidae","Pectinidae","Familia",10
"IDREM","Pediciidae","Pediciidae","Familia",10
"CRREM","Peltogastridae","Peltogastridae","Familia",10
"INREM","Perlidae","Perlidae","Familia",10
"INREM","Perlodidae","Perlodidae","Familia",10
"MOBIV","Petricolidae","Petricolidae","Familia",10
"MOBIV","Pharidae","Pharidae","Familia",10
"MAREM","Phascolionidae","Phascolionidae","Familia",10
"MOGAS","Philinidae","Philinidae","Familia",10
"INTRI","Philopotamidae","Philopotamidae","Familia",10
"MOBIV","Pholadidae","Pholadidae","Familia",10
"APPOL","Pholoidae","Pholoidae","Familia",10
"MAREM","Phoronidae","Phoronidae","Familia",10
"ARACH","Phoxichilidiidae","Phoxichilidiidae","Familia",10
"CRAMP","Phoxocephalidae","Phoxocephalidae","Familia",10
"INTRI","Phryganeidae","Phryganeidae","Familia",10
"APPOL","Phyllodocidae","Phyllodocidae","Familia",10
"MOGAS","Physidae","Physidae","Familia",10
"ARACH","Piersigiidae","Piersigiidae","Familia",10
"APPOL","Pilargidae","Pilargidae","Familia",10
"CRDEC","Pilumnidae","Pilumnidae","Familia",10
"MOBIV","Pinnidae","Pinnidae","Familia",10
"CRDEC","Pinnotheridae","Pinnotheridae","Familia",10
"ARACH","Pionidae","Pionidae","Familia",10
"CRDEC","Pirimelidae","Pirimelidae","Familia",10
"ARACH","Pisauridae","Pisauridae","Familia",10
"APHIR","Piscicolidae","Piscicolidae","Familia",10
"APPOL","Pisionidae","Pisionidae","Familia",10
"APTUR","Planariidae","Planariidae","Familia",10
"MOGAS","Planorbidae","Planorbidae","Familia",10
"INODO","Platycnemididae","Platycnemididae","Familia",10
"INHET","Pleidae","Pleidae","Familia",10
"MAREM","Pleurobrachiidae","Pleurobrachiidae","Familia",10
"CRAMP","Pleustidae","Pleustidae","Familia",10
"BRHYP","Plumatellidae","Plumatellidae","Familia",10
"CRAMP","Podoceridae","Podoceridae","Familia",10
"COLMB","Poduridae","Poduridae","Familia",10
"APPOL","Poecilochaetidae","Poecilochaetidae","Familia",10
"INTRI","Polycentropodidae","Polycentropodidae","Familia",10
"CRDEC","Polychelidae","Polychelidae","Familia",10
"APPOL","Polygordiidae","Polygordiidae","Familia",10
"INEPH","Polymitarcyidae","Polymitarcyidae","Familia",10
"APPOL","Polynoidae","Polynoidae","Familia",10
"CRAMP","Pontoporeiidae","Pontoporeiidae","Familia",10
"CRDEC","Porcellanidae","Porcellanidae","Familia",10
"CRDEC","Portunidae","Portunidae","Familia",10
"INEPH","Potamanthidae","Potamanthidae","Familia",10
"MAREM","Priapulidae","Priapulidae","Familia",10
"CRDEC","Processidae","Processidae","Familia",10
"APOLI","Propappidae","Propappidae","Familia",10
"APTUR","Prorhynchidae","Prorhynchidae","Familia",10
"APPOL","Protodriloididae","Protodriloididae","Familia",10
"MOBIV","Psammobiidae","Psammobiidae","Familia",10
"APPOL","Psammodrilidae","Psammodrilidae","Familia",10
"APTUR","Psammorhynchidae","Psammorhynchidae","Familia",10
"CRREM","Pseudocumatidae","Pseudocumatidae","Familia",10
"IDREM","Psychodidae","Psychodidae","Familia",10
"INTRI","Psychomyiidae","Psychomyiidae","Familia",10
"MAREM","Ptychoderidae","Ptychoderidae","Familia",10
"IDREM","Ptychopteridae","Ptychopteridae","Familia",10
"ARACH","Pycnogonidae","Pycnogonidae","Familia",10
"INLEP","Pyralidae","Pyralidae","Familia",10
"MOGAS","Pyramidellidae","Pyramidellidae","Familia",10
"MOGAS","Ranellidae","Ranellidae","Familia",10
"MOGAS","Retusidae","Retusidae","Familia",10
"IDREM","Rhagionidae","Rhagionidae","Familia",10
"INTRI","Rhyacophilidae","Rhyacophilidae","Familia",10
"APTUR","Rhynchodemidae","Rhynchodemidae","Familia",10
"MOGAS","Rissoidae","Rissoidae","Familia",10
"APPOL","Sabellariidae","Sabellariidae","Familia",10
"APPOL","Sabellidae","Sabellidae","Familia",10
"CRREM","Sacculinidae","Sacculinidae","Familia",10
"MAREM","Sagartiidae","Sagartiidae","Familia",10
"MAREM","Sagittidae","Sagittidae","Familia",10
"APPOL","Scalibregmidae","Scalibregmidae","Familia",10
"IDREM","Scathophagidae","Scathophagidae","Familia",10
"IDREM","Sciomyzidae","Sciomyzidae","Familia",10
"INCOL","Cyphonidae","Scirtidae","Familia",20
"INCOL","Helodidae","Scirtidae","Familia",20
"INCOL","Scirtidae","Scirtidae","Familia",10
"MOBIV","Scrobiculariidae","Semelidae","Familia",20
"MOBIV","Semelidae","Semelidae","Familia",10
"MOREM","Sepiolidae","Sepiolidae","Familia",10
"INTRI","Sericostomatidae","Sericostomatidae","Familia",10
"APPOL","Serpulidae","Serpulidae","Familia",10
"BRHYP","Sertulariidae","Sertulariidae","Familia",10
"INREM","Sialidae","Sialidae","Familia",10
"APPOL","Sigalionidae","Sigalionidae","Familia",10
"IDSIM","Simuliidae","Simuliidae","Familia",10
"INEPH","Siphlonuridae","Siphlonuridae","Familia",10
"INREM","Sisyridae","Sisyridae","Familia",10
"MOGAS","Skeneopsidae","Skeneopsidae","Familia",10
"MOBIV","Solenidae","Solenidae","Familia","NA"
"APOLI","Sparganophilidae","Sparganophilidae","Familia",10
"INCOL","Spercheidae","Spercheidae","Familia",10
"ARACH","Sperchontidae","Sperchontidae","Familia",10
"MOBIV","Pisidiidae","Sphaeriidae","Familia",20
"MOBIV","Sphaeriidae","Sphaeriidae","Familia",10
"IDREM","Sphaeroceridae","Sphaeroceridae","Familia",10
"APPOL","Sphaerodoridae","Sphaerodoridae","Familia",10
"CRISO","Sphaeromatidae","Sphaeromatidae","Familia",10
"APPOL","Spionidae","Spionidae","Familia",10
"APPOL","Spirorbidae","Spirorbidae","Familia",10
"BRHYP","Spongillidae","Spongillidae","Familia",10
"CRAMP","Stenothoidae","Stenothoidae","Familia",10
"MOGAS","Stiligeridae","Stiligeridae","Familia",10
"IDREM","Stratiomyidae","Stratiomyidae","Familia",10
"MAREM","Styelidae","Styelidae","Familia",10
"APTUR","Stylochidae","Stylochidae","Familia",10
"APTUR","Stylochoplanidae","Stylochoplanidae","Familia",10
"MOGAS","Succineidae","Succineidae","Familia",10
"BRHYP","Sycettidae","Sycettidae","Familia",10
"APPOL","Syllidae","Syllidae","Familia",10
"ECHIN","Synaptidae","Synaptidae","Familia",10
