"group","provided","accepted","level","quality_code"
"MAREM","Anopla","Anopla","Classis",10
"MAREM","Anthozoa","Anthozoa","Classis",10
"APOLI","Aphanoneura","Aphanoneura","Classis",10
"ARACH","Arachnida","Arachnida","Classis",10
"MAREM","Ascidiacea","Ascidiacea","Classis",10
"ECHIN","Asteroidea","Asteroidea","Classis",10
"MOBIV","Bivalvia","Bivalvia","Classis",10
"APOLI","Branchiobdellea","Branchiobdellea","Classis",10
"BRHYP","Calcarea","Calcarea","Classis",10
"MOREM","Caudofoveata","Caudofoveata","Classis",10
"MAREM","Cephalochordata","Cephalochordata","Classis",10
"MOREM","Cephalopoda","Cephalopoda","Classis",10
"BRHYP","Demospongiae","Demospongiae","Classis",10
"ECHIN","Echinoidea","Echinoidea","Classis",10
"MAREM","Echiuroidea","Echiuroidea","Classis",10
"MAREM","Enopla","Enopla","Classis",10
"MAREM","Enteropneusta","Enteropneusta","Classis",10
"COLMB","Entognatha","Entognatha","Classis",10
"MOGAS","Gastropoda","Gastropoda","Classis",10
"BRHYP","Gymnolaemata","Gymnolaemata","Classis",10
"APHIR","Hirudinea","Hirudinea","Classis",10
"ECHIN","Holothuroidea","Holothuroidea","Classis",10
"BRHYP","Hydrozoa","Hydrozoa","Classis",10
"MAREM","Kinorhyncha","Kinorhyncha","Classis",10
"CRREM","Malacostraca","Malacostraca","Classis",10
"CRREM","Maxillopoda","Maxillopoda","Classis",10
"MAREM","Nematomorpha","Nematomorpha","Classis",10
"APOLI","Oligochaeta","Oligochaeta","Classis",10
"ECHIN","Ophiuroidea","Ophiuroidea","Classis",10
"MAREM","Palaeacanthocephala","Palaeacanthocephala","Classis",10
"BRHYP","Phylactolaemata","Phylactolaemata","Classis",10
"APPOL","Polychaeta","Polychaeta","Classis",10
"MOREM","Polyplacophora","Polyplacophora","Classis",10
"MAREM","Priapulida","Priapulida","Classis",10
"ARACH","Pycnogonida","Pycnogonida","Classis",10
"MAREM","Sagittoidea","Sagittoidea","Classis",10
"MOREM","Scaphopoda","Scaphopoda","Classis","NA"
"MAREM","Sipunculidae","Sipunculidae","Classis",10
"MOREM","Solenogastres","Solenogastres","Classis",10
"MAREM","Tentaculata","Tentaculata","Classis",10
"MOGAS","Acroloxidae","Acroloxidae","Familia",10
"MOGAS","Acteonidae","Acteonidae","Familia",10
"MAREM","Actiniidae","Actiniidae","Familia",10
"MOGAS","Aeolidiidae","Aeolidiidae","Familia",10
"APOLI","Aeolosomatidae","Aeolosomatidae","Familia",10
"INODO","Aeshnidae","Aeshnidae","Familia",10
"BRHYP","Aglaopheniidae","Aglaopheniidae","Familia",10
"BRHYP","Alcyonidiidae","Alcyonidiidae","Familia",10
"APOLI","Almidae","Almidae","Familia",10
"CRDEC","Alpheidae","Alpheidae","Familia",10
"INEPH","Ameletidae","Ameletidae","Familia",10
"INEPH","Ametropodidae","Ametropodidae","Familia",10
"ARACH","Ammotheidae","Ammotheidae","Familia",10
"CRAMP","Ampeliscidae","Ampeliscidae","Familia",10
"APPOL","Ampharetidae","Ampharetidae","Familia",10
"CRAMP","Amphilochidae","Amphilochidae","Familia",10
"APPOL","Amphinomidae","Amphinomidae","Familia",10
"ECHIN","Amphiuridae","Amphiuridae","Familia",10
"CRREM","Anarthruridae","Anarthruridae","Familia",10
